T,n_regressors,scan_type,prob,crit_val,crit_val_se,n_finite,n_total
50,1,fw,0.01,-4.82244291656142,0.0621719670958226,10000,10000
50,1,fw,0.05,-4.09471749465266,0.0263475234291284,10000,10000
50,1,fw,0.1,-3.66339274177837,0.0198130707045979,10000,10000
75,1,fw,0.01,-4.95901003524453,0.0345699462728329,10000,10000
75,1,fw,0.05,-4.26647576178858,0.0258596888839444,10000,10000
75,1,fw,0.1,-3.88683141084652,0.0171930797653428,10000,10000
100,1,fw,0.01,-5.11878587508606,0.0389960533961619,10000,10000
100,1,fw,0.05,-4.3452918107094,0.0218035064996698,10000,10000
100,1,fw,0.1,-3.99198373250222,0.0171182146934672,10000,10000
150,1,fw,0.01,-5.13334454017313,0.0363749951583954,10000,10000
150,1,fw,0.05,-4.42826891384089,0.0283063497549911,10000,10000
150,1,fw,0.1,-4.06533104622107,0.0168358962693971,10000,10000
200,1,fw,0.01,-5.20941011892809,0.041314560534763,10000,10000
200,1,fw,0.05,-4.50676555025253,0.0180970357379663,10000,10000
200,1,fw,0.1,-4.13115377675572,0.0140041974409651,10000,10000
250,1,fw,0.01,-5.13410245561264,0.0427013155730875,10000,10000
250,1,fw,0.05,-4.43199997448216,0.0195530739726082,10000,10000
250,1,fw,0.1,-4.12511608864161,0.0143847110577748,10000,10000
300,1,fw,0.01,-5.13642911307277,0.0413187748306625,10000,10000
300,1,fw,0.05,-4.48571342319178,0.0164199009045119,10000,10000
300,1,fw,0.1,-4.17216276201951,0.0145027955335369,10000,10000
400,1,fw,0.01,-5.26609368358395,0.0404732998891598,10000,10000
400,1,fw,0.05,-4.53820906871814,0.0216304454148509,10000,10000
400,1,fw,0.1,-4.20258031985011,0.0145457311477798,10000,10000
500,1,fw,0.01,-5.17405893069718,0.0339754401184461,10000,10000
500,1,fw,0.05,-4.51880563732231,0.0196721440235537,10000,10000
500,1,fw,0.1,-4.20303377928134,0.0137989028067784,10000,10000
700,1,fw,0.01,-5.11245579347233,0.022664645269682,10000,10000
700,1,fw,0.05,-4.55540611354256,0.0163215068831453,10000,10000
700,1,fw,0.1,-4.25432871948797,0.0102513156597999,10000,10000
900,1,fw,0.01,-5.14185155647978,0.0380114357288621,10000,10000
900,1,fw,0.05,-4.52826179312313,0.0171777476861294,10000,10000
900,1,fw,0.1,-4.25534242551697,0.0124457551092927,10000,10000
1000,1,fw,0.01,-5.21456364039785,0.0424881400258273,10000,10000
1000,1,fw,0.05,-4.58311898309378,0.0141434409645178,10000,10000
1000,1,fw,0.1,-4.28712726409275,0.0161132688300389,10000,10000
50,2,fw,0.01,-5.25732734413873,0.0335150005081176,10000,10000
50,2,fw,0.05,-4.59115522702975,0.0223647215048674,10000,10000
50,2,fw,0.1,-4.18511409711905,0.0204521521382063,10000,10000
75,2,fw,0.01,-5.37305759398254,0.0355560779628357,10000,10000
75,2,fw,0.05,-4.72525419097347,0.0152119330180838,10000,10000
75,2,fw,0.1,-4.37008628300005,0.0173247372722051,10000,10000
100,2,fw,0.01,-5.60044576431118,0.0318480751364086,10000,10000
100,2,fw,0.05,-4.86634110415018,0.0200004727117772,10000,10000
100,2,fw,0.1,-4.50214961647462,0.01727277395257,10000,10000
150,2,fw,0.01,-5.61044841581719,0.0439467939431767,10000,10000
150,2,fw,0.05,-4.8865755571991,0.0183683328289413,10000,10000
150,2,fw,0.1,-4.5564172486174,0.0137395781388957,10000,10000
200,2,fw,0.01,-5.59984681660337,0.0402261613308203,10000,10000
200,2,fw,0.05,-4.93379427776728,0.0205394430442748,10000,10000
200,2,fw,0.1,-4.62441254888595,0.0126141582165213,10000,10000
250,2,fw,0.01,-5.60170585701881,0.03651626550027,10000,10000
250,2,fw,0.05,-4.96012368793539,0.0229877260676456,10000,10000
250,2,fw,0.1,-4.64190700809758,0.0160487120878088,10000,10000
300,2,fw,0.01,-5.62176175584591,0.0354767466162231,10000,10000
300,2,fw,0.05,-4.97536457033428,0.0134687931831294,10000,10000
300,2,fw,0.1,-4.66104421311254,0.0123211242070391,10000,10000
400,2,fw,0.01,-5.62855935908713,0.0389589885329152,10000,10000
400,2,fw,0.05,-5.001047177295,0.0209408555655801,10000,10000
400,2,fw,0.1,-4.69972402479912,0.0154855222298899,10000,10000
500,2,fw,0.01,-5.60471597027212,0.0331135394698955,10000,10000
