"case","r0","criterion","normalization","test","stat","win_start","win_end","cv1","cv5","cv10","pvalue"
"c",0.1,"BIC","temp on sl","FIEG",-5.42766939634063,1880,2014,NA,NA,NA,NA
"c",0.1,"BIC","temp on sl","BIEG",-5.81177093344934,1967,2019,NA,NA,NA,NA
"c",0.1,"BIC","temp on sl","GIEG",-6.19221632667175,1970,2007,NA,NA,NA,NA
"c",0.1,"BIC","sl on temp","FIEG",-5.23390001019942,1880,2019,NA,NA,NA,NA
"c",0.1,"BIC","sl on temp","BIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.1,"BIC","sl on temp","GIEG",-6.06347395122284,1954,2007,NA,NA,NA,NA
"c",0.1,"AIC","temp on sl","FIEG",-4.99312378703467,1880,1893,NA,NA,NA,NA
"c",0.1,"AIC","temp on sl","BIEG",-5.81177093344934,1967,2019,NA,NA,NA,NA
"c",0.1,"AIC","temp on sl","GIEG",-6.03850197198725,1971,2002,NA,NA,NA,NA
"c",0.1,"AIC","sl on temp","FIEG",-3.95927442131291,1880,1894,NA,NA,NA,NA
"c",0.1,"AIC","sl on temp","BIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.1,"AIC","sl on temp","GIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.15,"BIC","temp on sl","FIEG",-5.42766939634063,1880,2014,NA,NA,NA,NA
"c",0.15,"BIC","temp on sl","BIEG",-5.81177093344934,1967,2019,NA,NA,NA,NA
"c",0.15,"BIC","temp on sl","GIEG",-6.19221632667175,1970,2007,NA,NA,NA,NA
"c",0.15,"BIC","sl on temp","FIEG",-5.23390001019942,1880,2019,NA,NA,NA,NA
"c",0.15,"BIC","sl on temp","BIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.15,"BIC","sl on temp","GIEG",-6.06347395122284,1954,2007,NA,NA,NA,NA
"c",0.15,"AIC","temp on sl","FIEG",-4.38665755236632,1880,1920,NA,NA,NA,NA
"c",0.15,"AIC","temp on sl","BIEG",-5.81177093344934,1967,2019,NA,NA,NA,NA
"c",0.15,"AIC","temp on sl","GIEG",-6.03850197198725,1971,2002,NA,NA,NA,NA
"c",0.15,"AIC","sl on temp","FIEG",-3.29957493290478,1880,1953,NA,NA,NA,NA
"c",0.15,"AIC","sl on temp","BIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.15,"AIC","sl on temp","GIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.2,"BIC","temp on sl","FIEG",-5.42766939634063,1880,2014,NA,NA,NA,NA
"c",0.2,"BIC","temp on sl","BIEG",-5.81177093344934,1967,2019,NA,NA,NA,NA
"c",0.2,"BIC","temp on sl","GIEG",-6.19221632667175,1970,2007,NA,NA,NA,NA
"c",0.2,"BIC","sl on temp","FIEG",-5.23390001019942,1880,2019,NA,NA,NA,NA
"c",0.2,"BIC","sl on temp","BIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.2,"BIC","sl on temp","GIEG",-6.06347395122284,1954,2007,NA,NA,NA,NA
"c",0.2,"AIC","temp on sl","FIEG",-4.38665755236632,1880,1920,NA,NA,NA,NA
"c",0.2,"AIC","temp on sl","BIEG",-5.81177093344934,1967,2019,NA,NA,NA,NA
"c",0.2,"AIC","temp on sl","GIEG",-6.03850197198725,1971,2002,NA,NA,NA,NA
"c",0.2,"AIC","sl on temp","FIEG",-3.29957493290478,1880,1953,NA,NA,NA,NA
"c",0.2,"AIC","sl on temp","BIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"c",0.2,"AIC","sl on temp","GIEG",-5.81501872318585,1948,2019,NA,NA,NA,NA
"ct",0.1,"BIC","temp on sl","FIEG",-5.6202737553751,1880,2019,NA,NA,NA,NA
"ct",0.1,"BIC","temp on sl","BIEG",-6.21256516895812,1967,2019,NA,NA,NA,NA
"ct",0.1,"BIC","temp on sl","GIEG",-7.45745287425534,1948,1965,NA,NA,NA,NA
"ct",0.1,"BIC","sl on temp","FIEG",-4.85772910454716,1880,1893,NA,NA,NA,NA
"ct",0.1,"BIC","sl on temp","BIEG",-4.80765475357177,1993,2019,NA,NA,NA,NA
"ct",0.1,"BIC","sl on temp","GIEG",-5.47658233536814,1920,1999,NA,NA,NA,NA
"ct",0.1,"AIC","temp on sl","FIEG",-5.21965223816144,1880,1992,NA,NA,NA,NA
"ct",0.1,"AIC","temp on sl","BIEG",-6.07274839538018,1961,2019,NA,NA,NA,NA
"ct",0.1,"AIC","temp on sl","GIEG",-7.45745287425534,1948,1965,NA,NA,NA,NA
"ct",0.1,"AIC","sl on temp","FIEG",-4.85772910454716,1880,1893,NA,NA,NA,NA
"ct",0.1,"AIC","sl on temp","BIEG",-4.80765475357177,1993,2019,NA,NA,NA,NA
"ct",0.1,"AIC","sl on temp","GIEG",-5.47658233536814,1920,1999,NA,NA,NA,NA
"ct",0.15,"BIC","temp on sl","FIEG",-5.6202737553751,1880,2019,NA,NA,NA,NA
"ct",0.15,"BIC","temp on sl","BIEG",-6.21256516895812,1967,2019,NA,NA,NA,NA
"ct",0.15,"BIC","temp on sl","GIEG",-7.41430000144142,1947,1967,NA,NA,NA,NA
"ct",0.15,"BIC","sl on temp","FIEG",-4.04794186979604,1880,1945,NA,NA,NA,NA
"ct",0.15,"BIC","sl on temp","BIEG",-4.80765475357177,1993,2019,NA,NA,NA,NA
"ct",0.15,"BIC","sl on temp","GIEG",-5.47658233536814,1920,1999,NA,NA,NA,NA
"ct",0.15,"AIC","temp on sl","FIEG",-5.21965223816144,1880,1992,NA,NA,NA,NA
